Data for July 1, 2026 through July 2, 2026

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
SAN JACINTO 1.9 SE, CoCoRaHS, Riverside, -116.939, 33.774, 1619, 0.00
SAN DIMAS 2.1 WSW, CoCoRaHS, Los Angeles, -117.840, 34.095, 726, 0.00
ARCATA 1.3 E, CoCoRaHS, Humboldt, -124.057, 40.869, 818, 0.00
BANNING 3.0 SW, CoCoRaHS, Riverside, -116.933, 33.910, 2500, 0.00
ARNOLD 0.0 S, CoCoRaHS, Calaveras, -120.370, 38.232, 3873, 0.00
DELUZ HEIGHTS 1.4 NW, CoCoRaHS, San Diego, -117.297, 33.442, 1049, 0.00
ARNOLD 0.6 ENE, CoCoRaHS, Calaveras, -120.359, 38.234, 3865, 0.00
REDDING 2.1 NNW, CoCoRaHS, Shasta, -122.375, 40.601, 693, 0.00
SANTA ANA 2.3 N, CoCoRaHS, Orange, -117.876, 33.769, 135, T
TRINIDAD 4.7 N, CoCoRaHS, Humboldt, -124.157, 41.124, 242, 0.00
LA QUINTA 1.8 SW, CoCoRaHS, Riverside, -116.311, 33.652, 276, M
SACRAMENTO 2.9 SE, CoCoRaHS, Sacramento, -121.431, 38.537, 34, 0.00
WILLOW CREEK 3.3 NE, CoCoRaHS, Humboldt, -123.614, 40.910, 519, 0.00
SAN DIMAS 2.2 NE, CoCoRaHS, Los Angeles, -117.785, 34.135, 1217, 0.00
WALKER 1.2 NE, CoCoRaHS, Mono, -119.446, 38.529, 5640, 0.00
LOLETA 0.4 N, CoCoRaHS, Humboldt, -124.227, 40.647, 44, 0.00
POWAY 1.9 S, CoCoRaHS, San Diego, -117.018, 32.958, 557, 0.00
BARSTOW 3.0 E, CoCoRaHS, San Bernardino, -117.013, 34.881, 2393, 0.00
MONTEREY 1.4 W, CoCoRaHS, Monterey, -121.907, 36.600, 214, 0.00
BEAUMONT 2.5 SE, CoCoRaHS, Riverside, -116.948, 33.905, 2494, 0.00
MCKINLEYVILLE 0.3 ESE, CoCoRaHS, Humboldt, -124.110, 40.952, 111, 0.00
PALM DESERT 3.0 N, CoCoRaHS, Riverside, -116.373, 33.777, 292, 0.00
SOMERSET 5.5 SE, CoCoRaHS, El Dorado, -120.609, 38.593, 3378, 0.00
OAKLAND 2.7 NE, CoCoRaHS, Alameda, -122.188, 37.798, 468, 0.00
EUREKA 0.1 SSW, CoCoRaHS, Humboldt, -124.157, 40.793, 87, 0.00
WESTPORT 4.6 NNW, CoCoRaHS, Mendocino, -123.802, 39.701, 177, 0.00
EUREKA 0.8 E, CoCoRaHS, Humboldt, -124.140, 40.795, -, 0.00
SACRAMENTO 4.2 NNW, CoCoRaHS, Sacramento, -121.488, 38.626, 16, 0.00
TWAIN HARTE 1.6 SSE, CoCoRaHS, Tuolumne, -120.224, 38.019, 3472, 0.00
ALTADENA 1.9 W, CoCoRaHS, Los Angeles, -118.168, 34.192, 1159, 0.00
BAYSIDE 0.6 ENE, CoCoRaHS, Humboldt, -124.054, 40.847, 199, 0.00
GLENDORA 0.2 N, CoCoRaHS, Los Angeles, -117.844, 34.150, 1000, 0.00
LEWISTON 0.6 N, CoCoRaHS, Trinity, -122.803, 40.708, 1959, 0.00
SIMI VALLEY 1.7 SW, CoCoRaHS, Ventura, -118.769, 34.244, 1135, 0.00
PLEASANT HILL 0.1 ENE, CoCoRaHS, Contra Costa, -122.072, 37.955, 50, 0.00
ARCADIA 1.5 SW, CoCoRaHS, Los Angeles, -118.052, 34.116, 427, 0.00
FOSTER CITY 2.0 SSW, CoCoRaHS, San Mateo, -122.264, 37.540, 7, 0.00
MENIFEE 2.6 ESE, CoCoRaHS, Riverside, -117.141, 33.685, 1441, 0.00
